Bin	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	X
Bin0	0.44;0.244186046512	0.368421052632;0.59375	0	0.305785123967;0.493670886076	0.434782608696;0.444444444444	0	0.365217391304;0.276073619632	0.485849056604;0.482456140351	0.674418604651;0.45	0.549450549451;0.327868852459	1.0;1.0	1.0;1.0	0	0	0	0.461538461538;0.509090909091	1.0;1.0	0.55;0.444444444444	0.271028037383;0.246666666667	1.0;1.0	0	0	0.538461538462;0.520547945205
Bin250000	0	0.389380530973;0.469026548673	0.990566037736;1.0	0.421686746988;0.505494505495	0.545454545455;0.333333333333	0.416666666667;0.621621621622	0.469135802469;0.478571428571	0.28813559322;0.269841269841	1.0;1.0	1.0;1.0	0.470588235294;0.450381679389	0.333333333333;0.475409836066	0	0	0	0.619718309859;0.361445783133	0.451612903226;1.0	0.660714285714;0.488372093023	0.58064516129;0.746753246753	0.948717948718;0.954022988506	0	0	1.0;0.980769230769
Bin500000	0.453488372093;0.507462686567	0.313432835821;0.395061728395	0	1.0;1.0	0.423076923077;0.390625	1.0;1.0	0.508196721311;0.392523364486	0.264705882353;0.318181818182	1.0;1.0	1.0;1.0	0.458333333333;0.41935483871	1.0;1.0	0	0	0	0.492063492063;0.7	1.0;1.0	0.450980392157;0.422535211268	0.355555555556;0.620689655172	0.53125;0.523255813953	0	0	0.955555555556;0.989130434783
Bin750000	1.0;1.0	1.0;1.0	0	0.5;0.446808510638	0.541666666667;0.342857142857	0.354838709677;0.717741935484	1.0;1.0	0	1.0;1.0	1.0;1.0	1.0;1.0	0.512820512821;0.428571428571	0	0	0	0.568181818182;0.611111111111	0.305555555556;0.944444444444	1.0;1.0	0.344262295082;0.695652173913	0.509803921569;0.462962962963	0	0	0
Bin1000000	1.0;1.0	0.734693877551;0.471698113208	0	1.0;1.0	1.0;1.0	0.6;0.727272727273	0.322580645161;0.577777777778	0	0.432835820896;0.40243902439	0.95;1.0	1.0;1.0	0.529411764706;0.333333333333	0	0	0	0.574074074074;0.303571428571	0.470588235294;0.929203539823	0	0.574074074074;0.64406779661	1.0;1.0	0	0	0
Bin1250000	0.489361702128;0.651685393258	0.719298245614;0.679012345679	0.962962962963;1.0	0.394366197183;0.398058252427	0.550632911392;0.528	0.85632183908;0.876923076923	0.441441441441;0.325	0	0	0	1.0;1.0	0.653846153846;0.60396039604	0	0	0	0.395833333333;0.422222222222	0.48;0.258064516129	0.536231884058;0.392857142857	0.447368421053;0.552486187845	1.0;1.0	0	0	0.421875;0.559523809524
Bin1500000	0.490196078431;0.46875	1.0;1.0	0	1.0;1.0	1.0;1.0	1.0;1.0	0.294117647059;0.425	0.488095238095;0.839285714286	0	0	0.468085106383;0.424242424242	0.449541284404;0.641666666667	0	0	0	0.542372881356;0.64406779661	0.515789473684;0.84	0	0.228070175439;0.333333333333	0.5;0.4375	0	0	0.358974358974;0.518072289157
Bin1750000	0.435483870968;0.689655172414	1.0;0.990099009901	0.451219512195;0.278481012658	0.560606060606;0.263888888889	0.429906542056;0.564102564103	0	1.0;1.0	0.989010989011;1.0	0	0.630434782609;0.357142857143	0.497797356828;0.39751552795	0.970588235294;0.98	0	0	0	0.488372093023;0.365853658537	0.606060606061;0.90625	0	0.561797752809;0.655172413793	1.0;1.0	0	0	0.396825396825;0.393617021277
Bin2000000	0.394117647059;0.266272189349	0	0	1.0;1.0	0	0	1.0;1.0	0.386363636364;0.411764705882	0.506666666667;0.533333333333	0	0.573529411765;0.577464788732	0.424657534247;0.483333333333	0	0	0	0.347826086957;0.342857142857	1.0;1.0	0	1.0;1.0	0.49710982659;0.5	0	0	0.9375;1.0
Bin2250000	0.4;0.607142857143	0.566037735849;0.512658227848	0	0.506493506494;0.492063492063	0	0	1.0;1.0	0	0	0	1.0;1.0	0	0	0	0	0.564102564103;0.409090909091	0.985294117647;1.0	0	0.5;0.519230769231	1.0;1.0	0	0	0.474885844749;0.415019762846
