cytoband	15q11.2	6q14.1	17q21.31	17p13.1	1q31.3	13q14.11	14q23.3	17p11.2	4p16.1	10p12.33	13q14.2	21q21.1	13q21.1	13q31.2	4q13.2	13q33.2	
q value	0.00024236	0.01524	0.028292	0.041899	0.095551	0.095551	0.095551	0.095551	0.13014	0.14381	0.16434	0.16434	0.23185	0.23185	0.24596	0.24596	
residual q value	0.00024236	0.01524	0.028292	0.041899	0.095551	0.095551	0.095551	0.095551	0.13014	0.14381	0.16434	0.16434	0.23185	0.23185	0.24596	0.24596	
wide peak boundaries	chr15:20564207-21927411	chr6:78942301-79033765	chr17:44363268-44759801	chr17:1-18293351	chr1:196710063-196808990	chr13:44770011-45056209	chr14:22974252-107349540	chr17:22113439-25280356	chr4:9985536-10242837	chr10:18050237-18156687	chr13:49939644-51275214	chr21:20938093-21153977	chr13:53171583-58245331	chr13:77389808-98667822	chr4:69249753-69341587	chr13:106536916-106647122	
genes in wide peak	hsa-mir-3118-4	[IRAK1BP1]	NSF	hsa-mir-33b	CFH	TSC22D1	hsa-mir-203	[MTRNR2L1]	hsa-mir-3138	hsa-mir-511-2	hsa-mir-15a	[hsa-mir-548x]	hsa-mir-1297	hsa-mir-92a-1	TMPRSS11E	[DAOA-AS1]	
	NBEAP1		LRRC37A	hsa-mir-1288	CFHR1	SERP2	hsa-mir-4309		WDR1	MRC1	KPNA3		hsa-mir-759	hsa-mir-622			
	HERC2P3		ARL17A	hsa-mir-548h-3	CFHR3		hsa-mir-1247		SLC2A9	MIR511-1	DLEU2		PCDH8	BTF3P11			
	POTEB		LRRC37A2	hsa-mir-744			hsa-mir-656		MIR3138	MIR511-2	TRIM13		OLFM4	CLN5			
	LOC348120		NSFP1	hsa-mir-4314			hsa-mir-370			TMEM236	DLEU1		SUGT1	DCT			
	NF1P2		ARL17B	hsa-mir-324			hsa-mir-345				PHF11		LECT1	EDNRB			
	GOLGA6L6			hsa-mir-497			hsa-mir-342				RCBTB1		PCDH17	GPC5			
	GOLGA8C			hsa-mir-1253			hsa-mir-3173				SPRYD7		PRR20A	IPO5			
				hsa-mir-212			hsa-mir-1260				CAB39L		HNRNPA1L2	POU4F1			
				hsa-mir-22			hsa-mir-625				SETDB2		PRR20B	DNAJC3			
				hsa-mir-3183			hsa-mir-548h-1				EBPL		PRR20C	RAP2A			
				ABR			hsa-mir-4308				ARL11		PRR20D	SCEL			
				ACADVL			hsa-mir-3172				ST13P4		PRR20E	CLDN10			
				ADORA2B			hsa-mir-624				CTAGE10P		MIR1297	GPC6			
				ALOX12			hsa-mir-3171				KCNRG		MIR759	MBNL2			
				ALOX12B			hsa-mir-4307				MIR15A			SPRY2			
				ALOX12P2			hsa-mir-208b				MIR16-1			ABCC4			
				ALOX15			SERPINA3				MIR3613			SOX21			
				ALOX15B			ACTN1							DZIP1			
				ARRB2			ACYP1							MYCBP2			
				ASGR1			AKT1							TGDS			
				ASGR2			ARF6							SLITRK5			
				ASPA			ARG2							FBXL3			
				ATP1B2			ARHGAP5							OXGR1			
				ATP2A3			BCL2L2							NDFIP2			
				C1QBP			BDKRB1							UGGT2			
				CD68			BDKRB2							RBM26			
				CHD3			BMP4							RNF219			
				CHRNB1			ZFP36L1							SLITRK6			
				CHRNE			CALM1							SLITRK1			
				COX10			SERPINA6							KCTD12			
				CLDN7			ENTPD5							SLAIN1			
				CRK			CDKN3							LINC00410			
				CTNS			CEBPE							GPR180			
				DLG4			CFL2							HS6ST3			
				DNAH9			FOXN3							MIR17			
				DPH1			CHGA							MIR18A			
				DRG2			CKB							MIR19A			
				DVL2			CMA1							MIR19B1			
				EFNB3			LTB4R							MIR20A			
				EIF4A1			CRIP1							MIR92A1			
				EIF5A			CRIP2							MIR17HG			
				ENO3			CTSG							MIR4500HG			
				FGF11			DAD1							MIR622			
				FLII			COCH							MIR3665			
				GP1BA			DIO2							RBM26-AS1			
				GPS2			DIO3							MIR4500			
				GUCY2D			DLST										
				HIC1			DYNC1H1										
				ITGAE			EIF2S1										
				LLGL1			EIF5										
				MEIS3P1			ELK2AP										
				MNT			EML1										
				MYH1			ERH										
				MYH2			ESR2										
				MYH3			ESRRB										
				MYH4			FKBP3										
				MYH8			FOXG1										
				MYH10			FNTB										
				MYO1C			FOS										
				NUP88			FUT8										
				OR1D2			GALC										
				OR3A1			GCH1										
				OR3A2			GMFB										
				P2RX1			GPR33										
				P2RX5			GPX2										
				PAFAH1B1			GSTZ1										
				SERPINF1			GTF2A1										
				PER1			BRF1										
				PFAS			GZMH										
				PFN1			GZMB										
				PITPNA			HIF1A										
				PLD2			FOXA1										
				SERPINF2			HSPA2										
				PMP22			HSP90AA1										
				POLR2A			IFI27										
				PSMB6			ITPK1										
				RCVRN			JAG2										
				RPA1			KLC1										
				RPL26			KTN1										
				SCO1			LGALS3										
				MAP2K4			LTBP2										
				SHBG			MARK3										
				SHMT1			MAX										
				SLC2A4			MGAT2										
				SOX15			CTAGE5										
				SREBF1			ATXN3										
				VAMP2			MAP3K9										
				TOP3A			MMP14										
				TP53			ALDH6A1										
				UBB			MNAT1										
				UBE2G1			MTHFD1										
				TRPV1			MYH6										
				YWHAE			MYH7										
				ZNF18			NDUFB1										
				ZNF232			NEDD8										
				OR1A1			NFATC4										
				OR1D5			NFKBIA										
				OR1E1			NOVA1										
				OR1E2			NRL										
				OR1G1			SIX6										
				OR3A3			OTX2										
				SLC25A11			OXA1L										
				DOC2B			PAX9										
				GAS7			SERPINA5										
				COPS3			PCK2										
				SCARF1			PGF										
				TNK1			SERPINA1										
				MYH13			SERPINA4										
