cytoband	12p13.31	1p21.1	17q12	17q21.31	1p36.33	4q13.2	9p11.2	
q value	1.9027e-10	6.4658e-05	0.00055782	0.00055782	0.13905	0.13905	0.13905	
residual q value	1.9027e-10	6.4658e-05	0.00055782	0.00055782	0.13905	0.13905	0.13905	
wide peak boundaries	chr12:9622218-9739930	chr1:104157824-104264713	chr17:34416929-34547937	chr17:44156786-44371289	chr1:277180-594005	chr4:69325478-69546969	chr9:43603679-43726103	
genes in wide peak	[KLRB1]	AMY1A	CCL3	KIAA1267	OR4F3	UGT2B15	FAM75A6	
		AMY1B	CCL3L1	LOC644246	OR4F16	UGT2B17	CNTNAP3B	
		AMY1C	CCL4		OR4F29	TMPRSS11E		
		AMY2A	CCL4L1		LOC100132062			
			CCL4L2		LOC100132287			
			TBC1D3B		LOC100133331			
			CCL3L3					
