cytoband	12p13.33	5q21.1	9p11.2	12p12.1	12q24.33	12q13.12	12p13.31	12p13.32	8p11.22	17q21.31	4q12	
q value	3.4847e-05	0.078562	0.078562	0.078562	0.078562	0.078562	0.098149	0.00094842	0.12669	0.14934	0.16784	
residual q value	0.0016872	0.078562	0.078562	0.078562	0.078562	0.078562	0.098149	0.11463	0.12669	0.14934	0.16784	
wide peak boundaries	chr12:1230633-1407139	chr5:98878790-99001795	chr9:44658713-44847934	chr12:23906500-24027513	chr12:129616487-129977589	chr12:50491435-52206899	chr12:9617064-9736684	chr12:3770561-4402999	chr8:39218339-39389022	chr17:44159733-44389127	chr4:53837554-55112884	
genes in wide peak	ERC1	[LOC100289230]	[FAM27C]	SOX5	TMEM132D	hsa-mir-1293	[KLRB1]	CCND2	ADAM3A	LRRC37A	PDGFRA	
						ATF1		PARP11	ADAM5P	ARL17A	CHIC2	
						CELA1		EFCAB4B		KIAA1267	FIP1L1	
						GPD1				LOC644246	LNX1	
						SLC11A2				ARL17B	SCFD2	
						POU6F1					GSX2	
						SCN8A					RPL21P44	
						SMARCD1						
						TFCP2						
						SLC4A8						
						DAZAP2						
						GALNT6						
						METTL7A						
						LETMD1						
						BIN2						
						LIMA1						
						SMAGP						
						DIP2B						
						CSRNP2						
						C12orf62						
						CERS5						
						LARP4						
						FAM186A						
						TMPRSS12						
						HIGD1C						
						MIR1293						
